"","NAME","ADDRESS"
"65","3공단","경북+포항시+남구+대송면+옥명리+526+(3공단+배수지)"
"66","공단동","경북+구미시+공단동+256-18+(근로자종합복지회)"
"67","대도동","경북+포항시+남구+대도동+111-6+(상대2동주민센터)"
"68","대송면","경북+포항시+남구+대송면+홍계길19+(대송면사무소+2층옥상)"
"69","신음동","경북+김천시+신음동+1284+(김천시청+옥상)"
"70","원평동","경북+구미시+원평동+56-4+(구미중앙로+24)"
"71","중방동","경북+경산시+중방동+708-5+남매로+158+경산시보건소+정신보건센터+2층"
"72","태하리","경북+울릉군+서면+태하리+산99-3+(울릉군+항로표지관리소)"
"73","화북면","경북+영천시+화북면+천문로+2304-21+(화북정수장내)"
"74","대명동","대구+남구+성당로30길55+성명초등학교+별관+3층+옥상"
"75","지산동","대구+수성구+지산동+761-11+(한국환경공단)+(무학로+209)"
"76","태전동","대구+북구+태전동+1076-5+(태암초등학교)+(칠곡중앙대로+52길+56)"
"77","현풍면","대구+달성군+현풍면+부리+247+(상수도사업본부+달성사업소)+(현풍중앙로+144-34)"
"78","호림동","대구+달서구+성서공단로+11길+32+대구기계부품연구원+1동+옥상"
"79","개정동","전북+군산시+개정동+507-24+개정동주민센터+2층옥상"
"80","고창읍","전북+고창군+고창읍+월곡리+619번지+고창군+여성회관+2층+옥상"
"81","부안군","전북+부안군+부안읍+수정길+9-8+부안군+수도사업소+옥상"
"82","삼천동","전북+전주시+완산구+삼천동+2가+182-1+삼천도서관+옥상"
"83","소룡동","전북+군산시+소룡동+176-1+두산백화사무실+2층옥상"
"84","신풍동(군산)","전북+군산시+신풍동+13-1+신풍동주민센터+옥상"
"85","연지동","전북+정읍시+중앙로+73+(연지동+39-6)"
"86","요촌동","전북+김제시+요촌중길+50+요촌동+주민센터+옥상"
"87","죽항동","전북+남원시+죽항동+비석길+72+죽항동주민센터+옥상"
"88","대안동","경남+진주시+대안동+(진주대로+1052)11-10"
"89","동상동","경남+김해시+동상동+(호계로+517번길+8)856"
"90","반송로","경남+창원시+의창구+두대동+145번지+시설관리공단+내+실내수영장+앞+(원이대로+480)"
"91","북부동","경남+양산시+북부동+331-2+(양산시+보건소)+(북안남+5길+15)"
"92","사파동","경남+창원시+성산구+사파동(창이대로+706길)+106-1(16-23)"
"93","아주동","경남+거제시+아주동+337-26+아주보건지소+(아주로+3길+25)"
"94","용지동","경남+창원시+의창구+용지동+62-1번지+용지동+주민센터+3층+옥상+(용지로+239번길+19-4)"
"95","웅남동","경남+창원시+성산구+웅남동+43-1+(효성에바라)+(공단로+303)"
"96","장유동","경남+김해시+장유동+능동로+149+(장유건강지원센터+건물+옥상)+(능동로+149)"
"97","회원동","경남+창원시+마산회원구+회원동+52-11+(회원1동+주민센터)+(회원동11길+7)"
"98","덕신리","울산+울주군+온산읍+덕신리+(명봉거남로)+36-4+(2)"
"99","무거동","울산+남구+무거동+(대학로)+1522-2+(147번길+38)"
"100","부곡동(울산)","울산+남구+부곡동12+125-2+(처용로+260-37)"
"101","삼남면","울산+울주군+삼남면+교동리+(서향교+1길)+1605-1(67-12)+울주군보건소+옥상"
"102","상남리","울산+울주군+청량면+상남리+(신석하+3길)+595-7+(5+청량면사무소+옥상)"
"103","신정2동","울산+남구+신정2동+(문수로)+1674+(436+공업로타리)"
"104","신정동","울산+남구+신정동+(봉월로)+1210-9+(20번길)"
"105","여천동(울산)","울산+남구+여천동+(납도로)+250번지+(90)"
"106","효문동","울산+북구+효문동+616-8+(효문펌프장내)"
"107","광안동","부산+수영구+광안4동+1276-1+옥상"
"108","기장읍","부산+기장군+기장읍+동부리+320번지+(읍내로+69)"
"109","대신동","부산광역시+서구+대신로+150+부산국민체육센터+3층+옥상"
"110","대저동","부산+강서구+대저1동+(낙동북로)+1619+(236)"
"111","덕천동","부산+북구+덕천동+365-1+(만덕대로+155번길+81)"
"112","온천동","부산+동래구+온천2동(중앙대로)+동래지하철+건너편+(1335번길+24)"
"113","용수리","부산+기장군+정관면+용수리+(용수로4)+141번지+정관면주민센터"
"114","장림동","부산+사하구+장림동+1140+(161번길+2)"
"115","초량동","부산+동구+중앙대로+349번길+(->중앙대로로+넘어가는길)"
"116","태종대","부산+영도구+동삼2동+산29-1번지+태종대유원지관리사무소+(전망로24)"
"117","학장동","부산+사상구+학장동+대동로+413+학장초등학교+옥상"
"118","오선동","광주+광산구+하남산단+6번로+107+(삼성전자+환경안전센터)"
"119","운암동","광주+북구+북문대로+79+(벽산블루밍아파트+앞+인도)"
"120","나불리","전남+영암군+삼호면+나불리+338-3+영암소방서+3층"
"121","덕충동","전남+여수시+덕충안길+95+만덕동주민자치센터"
"122","순천만","전남+순천시+대대동+162-2+순천만+자연생태관+3층+(갈대밭길+15)"
"123","여천동(여수)","전남+여수시+선원동+704+(여천동주민센터+부지내)"
"124","연향동","전남+순천시+연향동+1379-1번지+순천시+연향도서관+3층+옥상"
"125","용당동","전남+목포시+용당2동+1053+(용당2동+주민센터+2층옥상)"
"126","월내동","전남+여수시+월내동+1392+(여수산단+월내+패수종말처리장)"
"127","태인동","전남+광양시+태인동+1653-4+(태인폐수처리장+사무실)"
"128","호두리","전남+순천시+해룡면+호두리+276-9+호두정수장+내"
"129","연동","제주+제주시+연동+322-1+번지+제주특별자치도청+제2청사+옥상"
