SIG_CD,HubDist,std
47750,904.8831499,0.38249147
47760,932.6302789,0.336637555
47770,928.8876354,0.342822514
47820,842.170827,0.486127619
47830,809.2237416,0.540574797
47840,814.4853221,0.531879697
47850,837.7321216,0.493462865
47900,881.2204196,0.421595654
47920,933.2208989,0.335661517
47930,956.4648014,0.297249473
47940,1136.336451,0
48121,808.0757135,0.542471987
48123,802.5640442,0.551580375
48125,785.4137813,0.579922288
48127,794.9378301,0.564183185
48129,802.2447414,0.552108044
48170,761.0650702,0.6201601
48220,759.0171889,0.623544355
48240,742.8469097,0.650266782
48250,821.1038557,0.520942144
48270,829.7425621,0.506666126
48310,779.2374209,0.590129121
48330,843.6392223,0.483701001
48720,782.4539724,0.584813563
48730,789.2758962,0.573539895
48740,809.4425397,0.540213219
48820,762.6971883,0.617462919
48840,719.8428994,0.688282389
48850,728.5731819,0.673855035
48860,756.6014454,0.627536527
48870,753.9343436,0.631944084
48880,776.62549,0.594445505
48890,789.2992139,0.573501361
41111,846.4332557,0.479083681
41113,840.8780765,0.488263972
41115,843.3372034,0.484200106
41117,846.200086,0.479469009
41131,862.6533853,0.452278873
41133,865.6683946,0.447296376
41135,857.074418,0.461498476
41150,886.9512688,0.412125058
41171,849.0615774,0.47474021
41173,851.234883,0.471148683
41190,851.5639092,0.470604946
41210,850.4227377,0.472490805
41220,819.108993,0.524238783
41250,904.0120204,0.383931068
41271,840.1156708,0.489523896
41273,816.9827591,0.527752521
41281,870.0177195,0.440108837
41285,867.6323213,0.444050861
41287,863.7734365,0.450427917
41290,856.7982746,0.46195482
41310,878.5983942,0.42592872
41360,887.4291878,0.411335266
41370,835.779755,0.496689276
41390,841.3118199,0.487547183
41410,843.9963594,0.483110809
41430,849.2607841,0.474411008
41450,876.6339167,0.429175146
41461,853.2988998,0.467737762
41463,849.0254123,0.474799975
41465,852.1246306,0.469678318
41480,885.1426331,0.415113944
41500,864.1353769,0.449829787
41550,839.1462322,0.491125956
41570,861.1082001,0.454832391
41590,824.00536,0.516147221
41610,869.7093701,0.440618404
41630,890.1390256,0.406857084
41650,918.0769104,0.360687932
41670,877.1675197,0.428293332
41800,915.9296185,0.36423647
41820,913.6567644,0.367992508
41830,896.1816209,0.396871307
42110,937.7011325,0.328257643
42130,904.0584649,0.383854315
42150,986.96973,0.246838116
42170,986.8322537,0.247065304
42190,958.4433469,0.293979799
42210,1005.622227,0.216013664
42230,970.6583588,0.273793706
42720,943.5204905,0.318640779
42730,920.4329059,0.356794498
42750,928.7176359,0.343103449
42760,953.74832,0.301738633
42770,955.6348381,0.298621041
42780,951.0683288,0.306167491
42790,955.0160745,0.299643587
42800,976.151734,0.26471555
42810,983.2350432,0.253009926
42820,1018.571572,0.194614038
42830,997.5262887,0.229392723
